City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,port mathurin,-19.6833,63.4167,27.26,85,60,8.93,MU,1707778037
82,hermanus,-34.4187,19.2345,21.0,90,75,1.71,ZA,1707778011
83,jamestown,42.097,-79.2353,2.51,71,0,2.06,US,1707778031
84,lagoa formosa,-18.7786,-46.4075,23.34,64,64,1.89,BR,1707778609
85,codrington,-38.2667,141.9667,22.19,46,77,4.3,AU,1707778610
86,bethel,41.3712,-73.414,5.17,70,0,1.54,US,1707778038
87,kayangel,8.0823,134.7173,27.2,81,98,11.73,PW,1707778612
88,nar'yan-mar,67.6713,53.087,-32.72,100,64,2.24,RU,1707778150
89,menongue,-14.6585,17.691,18.26,93,75,1.26,AO,1707778613
90,hailar,49.2,119.7,-12.06,95,99,4.18,CN,1707778614
91,uturoa,-16.7333,-151.4333,26.65,95,100,10.46,PF,1707778614
92,ilulissat,69.2167,-51.1,-31.21,70,90,0.46,GL,1707778615
93,qianzhou,28.3167,109.7167,13.3,72,100,0.95,CN,1707778515
94,cabo san lucas,22.8909,-109.9124,24.78,59,0,4.39,MX,1707778429
95,nova sintra,14.8667,-24.7167,20.42,81,79,3.92,CV,1707778617
96,la puebla de montalban,39.863,-4.3592,13.62,83,91,3.09,ES,1707778618
97,port shepstone,-30.7414,30.455,22.07,81,27,8.01,ZA,1707778618
98,college,64.8569,-147.8028,-3.22,79,75,0.0,US,1707778039
99,farkhar,36.5729,69.8578,6.6,39,100,3.0,AF,1707778619
100,kudahuvadhoo,2.6708,72.8944,26.44,79,100,4.66,MV,1707778620
101,ierapetra,35.01,25.7353,13.97,71,5,0.89,GR,1707778621
102,badger,64.8,-147.5333,-3.26,83,75,0.0,US,1707778621
103,puerto carreno,6.189,-67.4859,34.99,43,20,1.54,CO,1707778622
104,riyadh,24.6877,46.7219,13.08,68,27,2.81,SA,1707778548
105,coquimbo,-29.9533,-71.3436,19.85,77,20,5.66,CL,1707778623
106,ribeira grande,38.5167,-28.7,17.1,88,96,9.83,PT,1707778152
107,utrik,11.2278,169.8474,26.32,77,100,9.49,MH,1707778039
108,colonia,50.9333,6.95,6.09,84,75,1.54,DE,1707778360
109,albany,42.6001,-73.9662,3.23,67,100,0.45,US,1707778626
110,motueka,-41.1333,173.0167,21.17,58,6,2.68,NZ,1707778627
111,labrador city,52.9463,-66.9114,-11.05,80,100,1.54,CA,1707778576
112,thompson,55.7435,-97.8558,-7.91,79,100,3.6,CA,1707778628
113,belinskiy,52.9647,43.4165,1.04,100,100,3.6,RU,1707778629
114,kapuskasing,49.4169,-82.4331,-5.95,73,75,2.57,CA,1707778629
115,rapid valley,44.0625,-103.1463,7.09,57,100,3.58,US,1707778630
116,san antonio de pale,-1.4014,5.6325,28.4,82,46,2.02,GQ,1707778631
117,flagstaff,35.1981,-111.6513,8.62,45,0,2.06,US,1707778336
118,newman,37.3138,-121.0208,16.83,57,100,1.34,US,1707778632
119,luena,-11.7833,19.9167,23.1,73,38,2.06,AO,1707778633
120,robertsport,6.7533,-11.3686,27.65,87,89,3.28,LR,1707778633
121,rongelap,11.1635,166.8941,26.36,80,93,9.38,MH,1707778634
122,tromso,69.6496,18.957,-4.99,50,0,4.12,NO,1707778361
123,saint-philippe,-21.3585,55.7679,25.77,90,70,2.03,RE,1707778635
124,saipan,15.1355,145.701,26.39,69,20,7.72,MP,1707778636
125,fenoarivo be,-18.4333,46.5667,19.77,92,100,2.46,MG,1707778636
126,vorgashor,67.5833,63.95,-36.88,100,30,1.92,RU,1707778637
127,afaahiti,-17.75,-149.2833,27.93,89,100,14.24,PF,1707778638
128,turbat,26.0023,63.044,19.23,77,100,2.11,PK,1707778638
129,yellowknife,62.456,-114.3525,-9.71,85,40,4.12,CA,1707778639
130,lihue,21.9789,-159.3672,26.58,56,0,4.12,US,1707778640
131,goribidnur,13.6111,77.5167,16.71,83,69,2.6,IN,1707778641
132,korla,41.7597,86.1469,0.17,60,100,4.57,CN,1707778641
133,tralee,52.2704,-9.7026,7.48,83,100,6.33,IE,1707778353
134,port elizabeth,-33.918,25.5701,22.4,88,0,1.34,ZA,1707778643
135,atafu village,-8.5421,-172.5159,28.91,78,100,10.37,TK,1707778643
136,tazovsky,67.4667,78.7,-39.15,100,30,1.27,RU,1707778644
137,holualoa,19.6228,-155.9522,24.91,67,0,4.12,US,1707778645
138,saminaka,10.414,8.6828,23.53,15,1,2.25,NG,1707778645
139,otavalo,0.2333,-78.2667,17.12,87,95,1.23,EC,1707778646
140,arraial do cabo,-22.9661,-42.0278,26.98,78,20,6.17,BR,1707778159
141,oranjemund,-28.55,16.4333,18.27,97,18,3.37,NA,1707778647
142,cuenca,-2.8833,-78.9833,20.07,68,75,1.54,EC,1707778611
143,san clemente del tuyu,-36.3569,-56.7235,16.66,66,81,14.16,AR,1707778649
144,harstad,68.799,16.5293,-3.25,59,100,10.73,NO,1707778650
145,dove valley,39.5777,-104.8294,10.22,34,20,3.09,US,1707778652
146,san andres,12.5847,-81.7006,30.01,70,20,4.12,CO,1707778652
147,kasaragod,12.5,75.0,21.61,71,63,1.93,IN,1707778653
148,al lagowa,11.4,29.1333,25.81,11,54,4.27,SD,1707778654
149,lompoc,34.6391,-120.4579,19.32,64,0,4.63,US,1707778655
150,mabaruma,8.2,-59.7833,24.12,82,35,1.74,GY,1707778655
151,ismailia,30.6043,32.2723,18.31,55,100,5.34,EG,1707778656
152,celestun,20.8667,-90.4,23.31,87,41,10.1,MX,1707778657
153,alofi,-19.0595,-169.9187,28.94,79,75,5.14,NU,1707778657
154,ujae,8.9322,165.7642,27.22,75,93,8.97,MH,1707778658
155,piton saint-leu,-21.2196,55.3151,25.04,83,0,1.03,RE,1707778659
156,cambria,35.5641,-121.0808,19.54,81,85,2.24,US,1707778659
157,san patricio,28.017,-97.5169,18.81,36,0,4.76,US,1707778660
158,port douglas,-16.4833,145.4667,27.54,79,22,2.34,AU,1707778661
159,kerikeri,-35.2268,173.9474,22.68,50,86,1.87,NZ,1707778662
160,khandyga,62.6667,135.6,-22.45,99,100,1.81,RU,1707778663
161,narvik,68.4384,17.4272,-3.33,59,100,4.21,NO,1707778664
162,margaret river,-33.95,115.0667,14.22,79,0,6.4,AU,1707778665
163,ayaviri,-14.8864,-70.5889,11.58,74,91,2.03,PE,1707778666
164,nemuro,43.3236,145.575,-1.85,77,63,7.95,JP,1707778666
165,iskateley,67.6803,53.1512,-32.77,100,46,2.24,RU,1707778149
166,egilsstadir,65.2653,-14.3948,-0.05,100,100,6.69,IS,1707778027
167,nurota,40.5614,65.6886,3.82,65,28,4.75,UZ,1707778669
168,fale old settlement,-9.3852,-171.2468,28.25,83,100,7.31,TK,1707778670
169,winneba,5.3511,-0.6231,27.11,89,5,1.62,GH,1707778671
170,aibak,36.2647,68.0155,8.29,39,60,2.38,AF,1707778672
171,rakops,-21.0167,24.3333,26.31,40,1,6.21,BW,1707778673
172,maragogi,-9.0122,-35.2225,26.2,84,58,3.59,BR,1707778620
173,port arthur,38.8,121.2667,1.12,85,0,4.25,CN,1707778675
174,gao,16.6362,1.637,24.45,8,1,4.95,ML,1707778675
175,inongo,-1.95,18.2667,24.34,84,76,0.37,CD,1707778676
176,port saint john's,-31.6229,29.5448,18.73,97,5,1.51,ZA,1707778677
177,cockburn town,21.4612,-71.1419,24.98,69,40,7.72,TC,1707778677
178,villa gesell,-37.2639,-56.973,17.25,58,100,12.97,AR,1707778678
179,aoulef,26.9667,1.0833,22.23,26,0,2.77,DZ,1707778679
180,panaba,21.2833,-88.2667,25.24,84,0,5.41,MX,1707778680
181,el calafate,-50.3408,-72.2768,12.82,51,100,2.46,AR,1707778680
182,anna regina,7.2644,-58.5077,25.27,83,18,3.97,GY,1707778681
183,lebu,-37.6167,-73.65,14.95,70,0,9.77,CL,1707778143
184,okha,53.5739,142.9478,-15.25,96,96,6.48,RU,1707778683
185,urangan,-25.3,152.9,28.44,77,92,3.58,AU,1707778683
186,constantia,44.1833,28.65,6.5,86,99,5.03,RO,1707778684
187,pollau,47.3,15.8333,6.73,100,60,1.95,AT,1707778685
188,kyosai,34.8503,128.5886,-1.02,77,31,2.83,KR,1707778685
189,taltal,-25.4,-70.4833,20.94,80,99,2.4,CL,1707778687
190,mangrol,21.1167,70.1167,19.57,35,100,4.75,IN,1707778687
191,hengchun,22.0042,120.7439,18.85,62,0,3.84,TW,1707778689
192,puerto baquerizo moreno,-0.9,-89.6,26.55,83,75,2.06,EC,1707778690
193,hampshire,42.3334,-72.5829,4.83,69,99,2.24,US,1707778691
194,yuzhno-kurilsk,44.0306,145.8556,-5.35,80,93,3.9,RU,1707778691
195,boa vista,2.8197,-60.6733,32.99,43,75,3.09,BR,1707778692
196,kindu,-2.95,25.95,21.78,88,89,1.17,CD,1707778693
197,faya-largeau,17.9257,19.1043,23.87,11,0,2.92,TD,1707778694
198,namdrik,5.5994,168.1028,27.99,77,100,9.64,MH,1707778694
199,sao jose da coroa grande,-8.8978,-35.1478,26.34,84,45,3.69,BR,1707778695
200,callao,-12.0667,-77.15,29.84,69,75,5.66,PE,1707778696
